검색키워드,제목,추천,비추천,작성일,작성자,본문내용,댓글입력일,댓글내용,추천/반대
,,,,,,,2021-10-02 17:43:21,탈원전 반대,0/0
,,,,,,,2021-09-28 06:50:56,대한민국에서 수출 효자 상품중 가장 가성비 높은 기술이 원전입니다,0/0
,,,,,,,2021-09-05 13:57:02,"탈원전 해야할 이유를 모르겠고, 북에는 원전건설해준다면서 무슨이유로 탈원전하려는지 이유를 모르겠다. 또한 세계 최고의 원자로 기술 더욱 발전시켜야지요. 탈원전 반대합니다.",0/0
,,,,,,,2021-08-12 15:38:23,탈원전반대합니다,0/0
,,,,,,,2021-07-08 11:43:17,반대합니다,0/0
,,,,,,,2021-07-07 23:30:38,탈원전 반대합니다,0/0
,,,,,,,2021-07-07 19:00:53,탈 원전 반대합니다 ㆍ원전 유지 찬성,0/0
,,,,,,,2021-07-06 13:13:48,탈원전 반대합니다,0/0
,,,,,,,2021-07-06 13:03:07,탈원전반대 무능한 문재인정부,0/0
,,,,,,,2021-07-01 12:29:43,탈원전 반대,0/0
,,,,,,,2021-06-30 14:18:32,똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다. 똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다. 똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다. 똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다. 똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다. 똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다.,0/0
,,,,,,,2021-06-30 14:18:30,똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다. 똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다. 똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다. 똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다. 똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다. 똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다.,0/0
,,,,,,,2021-06-30 14:18:27,똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다. 똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다. 똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다. 똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다. 똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다. 똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다.,0/0
,,,,,,,2021-06-30 14:18:24,똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다. 똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다. 똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다. 똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다. 똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다. 똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다.,0/0
,,,,,,,2021-06-30 14:18:21,똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다. 똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다. 똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다. 똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다. 똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다. 똥물세례 받을놈들. □□□□□□□□□□□□ 더불어민주당은 반국가정당이다. □□□□□□□□□□□□ 반국가특별인명사전을 만들어야한다. □□□□□□□□□□□□ 국민은 그들에게 똥물세례를 보네야한다. □□□□□□□□□□□□ 김원웅사무실은 똥물세례를 받았다. □□□□□□□□□□□□ 문재인너는 국민을배신한 역적이다. □□□□□□□□□□□□ 청와대는 똥물을받을 준비가되었는가? □□□□□□□□□□□□ 조국놈가족은 스티브유처렴 이땅에서 추방해야한다. 반국가정당 민주당인명사전을통해 인적청산을해야한다.,0/0
