검색 키워드,검색 범위,글제목,평점,분야,처리기관,현황및문제점,개선방안,기대효과,신청일,첨부파일
탈원전,내용,학교 옥상을 활용한 태양광 발전 설치 제안,-,교육/문화/체육/관광,충청남도교육청,"1. 현정부의 탈원전 정책을 위해서는 재생 에너지 정책이 뒷받침되어야 한다. 2. 태양광에너지의 활성화는 그 대안으로 으뜸가는 방안이다. 3. 학교 옥상은 태양광 발전을 위한 최적의 장소이다. 4. 학교 옥상을 잘 활용하면 막대한 전기 에너지를 얻을 수 있다. 5. 학교에서도 복사열 방지, 환경체험장, 임대료 수입 등의 이익이 있다. 6. 그러나 현 교육계에서는 이런 문제에 대해 큰 관심이 없다. 7. 이를 추진했던 경험으로 미루어 모두가 윈-윈할 수 있는 방안이다.",절대농지에도 태양광 발전을 하도록 하겠다는 정부 발표를 보면서 학교옥상을 활용한 태양광 발전을 제안한다.  포항 지진 이후 모두가 전전긍긍하고 있다. 무엇보다 걱정은 원자력발전소가 그쪽에 집중되어 있다는 것이다. 수년 전 일본의 후쿠시마 원전사고를 지켜본 우리로서는 강 건너 불이 아니다. 세계 최고 수준의 기술을 가졌다는 일본도 속수무책이니 우리도 현실을 냉정히 살펴봐야 할 것이다. 그렇다고 원전 없이 생활하기는 어려운 것이 사실이다. 화력발전소를 추가 건설하는 것도 환경 등 측면에서 바람직하지 않다. 결국 친환경 발전을 모색할 수밖에 없다. 가장 현실적인 대안이 태양광 발전이라고 본다.  학교 교장으로 재직하다가 이번 9월에 퇴직했다. 재임 기간 중인 3년 전에 학교옥상을 활용한 태양광 발전을 추진하다가 하지 못했다. 이미 강원도 태백시를 비롯한 몇몇 지방 교육청에서는 시행하고 있다. 사업의 지속성을 위해서 학교가 단독 추진하기에는 아무래도 무리가 따른다. 자치단체와 교육청이 힘을 합치면 한결 수월할 것이다.  무엇보다 정부 차원에서 정책적으로 지원한다면 속도와 효과는 배가될 것이다.  태양광 발전은 원전의 위험과 화력 발전의 환경오염 문제를 극복할 대안이다. 주변을 둘러보면 가능한 다른 곳도 많다. 아파트 옥상이 그렇다. 화재 대피 등 기본 공간만 확보하고 나머지는 태양광 발전을 하도록 의무화하는 것도 방안이다.  전국의 학교 옥상을 태양광 발전에 활용하면 원전 하나를 건립하는 정도의 효과가 있다는 말을 실무자에게 들었다. 사실 여부를 떠나 무시할 수 없는 규모일 것이다. 태양광 발전을 각 학교 옥상에 대대적으로 설치하면 관련 산업의 발전과 함께 경제적 효과도 기대할 수 있을 것이다.  한전에서도 수천억을 조성해 태양광 발전을 추진하나 이를 수용한 곳은 대전교육청이란 말을 들었다. 학교건물 안전에 대해 걱정하지만 이는 안전진단을 하면 해결되는 문제이다.  학교옥상에 쏟아지는 햇살을 보면 아깝기 그지없다. 더욱이 학교 옥상은 안전을 위해 문을 잠가 놓는다. 지금의 나는 퇴직한 신분이지만 현 정부의 탈원전과 재생에너지에 대한 고민을 보면서 다시 한번 학교옥상을 활용한 태양광 발전을 제안한다.,"국가 전체로 유휴공간을 활용한 신재생 에너지 발전 공간으로 숨은 자산이다. 학교에서도 다음과 같은 이점이 있음에 이를 적극 검토 바랍니다.  학교와 학생에게도 태양광 발전에는 4가지 이점이 있다. 첫째, 여름철 옥상 아래의 교실들은 복사열 때문에 학생과 선생님들 모두 고생하고 있다. 태양광 패널이 만들어주는 그늘은 이 복사열의 감소에 효과가 있다. 둘째, 학교 옥상 대부분이 출입을 금한 채 비어 있으니 태양광 발전에 최적이다. 유휴 공간 활용 차원에서도 의미가 있다. 셋째, 초기 시설 및 관리를 업자가 전담하니 당장 부담이 없고, 오히려 옥상 임대료를 받을 수 있어 이를 학생 복지에 활용할 수 있다. (3년전 그 업체는 최소 연500만원의 임대료를 약속하기도 했다.) 넷째, 학생들을 위한 환경이나 과학교육 체험장 같은 교육시설로도 활용할 수 있다.  정부의 직접 투자 없이도 사설업체와도 연계가 가능하다. 학교에서도 시설투자에 대한 부담도 없다. 그렇다고 환경 오염 등에도 문제가 없다. 기업의 활성화에도, 나아가 취업과 경제발전에도 기여할 수 있을 것이다.  3년 전 이를 추진하면서 검토해 보았지만 부정적 요인을 발견할 수 없었습니다. 정부의 실행의지만 있으면 지금이라도 얼마든지 실천가능하다고 생각합니다.",2017-11-22,
탈원전,내용,대통령님께,-,국방/보훈/외교/통일,통일부,탈원전 일단 멈추시기 바람니다 북한과대화 한반도비헥화 한반도통일,"북한과대화 전기뿐입니다 한반도비헥화 전기뿐입니다 한반도통일 전기뿐입니다 우리가 전기소비율을 낮게 책정하는것은 북한과대화도, 도와주지도, 비헥화도 통일도, 하지않겠다는 뜻입니다 (북한이 바라는것은 쌀도,돈도,아닌 전기뿐입니다) 원전없이 까스 수입해서 만든전기로 깜깜한 북한땅을 밝히시겠읍니까? 산업을 일 으키도록 도와주시겠읍니까? 오직전기만이 대화도, 비헥화도, 통일도,할수있으니다 대통령님 원전을 국가사업으로 확정하십시요 우리에겐 세계 최고의 뛰어난 두뇌의기술자, 연구진, 박사들이 있지않습니까 수년안에 세계가 깜짝놀랄 최고의원전을 내놓을것입니다 북한과 대화가 트면 전기도주고 원전도지어주어 남한과 대등하게 산업을 발전 시켜야 통일 비용도 부담없을것입니다 우리는 절대 잊어서는 않됩니다. 대한민국의 오늘을 있게한 원전을,","대화, 비헥화, 통일,",2017-11-21,
탈원전,내용,강화군 신재생에너지를 통한 전기에너지자립,-,행정/자치/안전,강화군,"오랜시간 동안 축척된 화석연료사용은 지구온난화를 가속시켰습니다. 인류는 이 지구온난화와 더불어 자원전쟁, 미세먼지와 같은 문제도 떠안게 되었습니다. 이러한 화석연료의 대체재로 떠오르는 것이 바로 신재생에너지입니다. 신재생에너지기술은 빠른 속도로 발전하여 효율성이 매우 높아진 상태입니다. 이와 더불어 탈원전 추세와도 맞는 주제라고 생각합니다.","저희 동아리 연구 목적은 실제 적용 가능한 강화군 에너지 자립입니다. 저희 동아리가 계산한 바로는 2016년 기준으로의 강화군 가축분 메탄가스 발생량을 통한 전기 발전량 예상 총합은 약 4천만 kW입니다. 강화군에서 숲가꾸기 등을 통해 발생되는 또 다른 자원으로는 임지 목재 부산물이 있습니다. 임지 목재 부산물은 2014년부터 2016년까지 꾸준히 발생량이 증가했으며, 2016년에는 약 1억 kg 상당의 부산물이 발생했습니다. 이때, 부산물들을 펠릿으로 제조하여 목재펠릿을 통한 전기발전 예산량은 약 9천만 kW입니다. 여기에 수상 태양광 발전을 적용하면 강화도 전체에 있는 저수지의 약 19.76%를 사용하여 발생시키는 전력량이 약 3억 9천만 kW로 약 5억 2천만이었던 2016년 강화군 총 전력 소비량을 충족할 수 있습니다. 결론적으로 강화군 저수지 면적의 19.76 %와 가축분을 활용한 메탄가스 발전, 임지 목재 부산물 발전을 하면 강화군 연간 소비전력을 대체할 수 있습니다. 또한 위의 재생에너지들은 원래 자연에서 순환하는 에너지이기 때문에 환경오염에 영향을 미치지 않습니다.","강화군을 ‘저수지 수상 태양광’과 ‘메탄가스 발전’, ‘임지 목재 부산물 발전’을 활용한 강화군 전기 에너지 자립을 건의하는 바입니다. 2016년도 저수지 수상태양광 발전을 건의하였지만 제대로 시행이 되지 않았습니다. 저수지는 군청 관할이 아니라고만 하지마시고 자세히 검토하여 주시기 바랍니다. 강화군이 신재생에너지를 통한 자립이 이루어진다면 세계적으로 친환경 도시로 거듭날 수 있고, 또한 신재생 에너지 자립사업에 앞서갈 수 있는 좋은 계기가 될 것입니다. 기대효과 1. 지구온난화 감속 2. 탄소배출 감소 3. 중규모 에너지자립섬 선례로서 앞으로의 세계적인 에너지자립 사업의 좋은 선례 4. 에너지자립섬이라는 주제로 관광수익 창출 자세한 내용은 첨부된 파일을 통해 확인해 주시길 바랍니다. 더 궁금한 점이 있으시다면 저희 이메일 또는 연락처로 연락 부탁드립니다.",2017-11-08,삼량고(2017보고서)_바이오매스를 통한 강화군 전기에너지 자립연구.hwp
탈원전,내용,학교 창가에 식물재배로 고용창출 및 에너지절감,-,교육/문화/체육/관광,인천광역시교육청,"- 3포세대를 지나 7포세대로 몰리는 청년들에 대한 일자리가 요구되며, 나아가 노인 일자리 뿐아니라 은퇴 및 은퇴를 앞둔 베이비부머들에 대한 일자리 창출이 필요함 - 탈원전 및 화력발전소 줄이기를 위한 에너지 대책이 요구됨 - 교실은 대부분 남향이어서 직사광선에 의한 냉방에너지 소모가 많으나 한정된 예산 으로 적정 수준의 실내온도 유지가 어려움 - 최근 미세먼지 농도가 높아 일부 지자체에서는 교실에 공기청정기의 설치가 검토되 고 있으나, 공기청정기는 미세먼지의 악순환이될 수도 있어 이에 대한 대책이 요구됨","녹색커튼이라 하여 일부 관공서의 외부벽에 덩굴성식물(나팔꽃등)을 키워 직사광선을 차단하는 사례가 있으나, 기존 녹색커튼은 직사광선만 차단할 뿐이 기화열에 의한 실내온도는 낮추지는 못한다. 또한 식물이 외부에 식재되어 계절의 제약을 받을 뿐만아니라 저층건물에는 적용이 가능하나 3층 이상의 고층건물에는 적용이 어렵다  본 사업은 실내에 적용하므로 계절의 제약이 없으며, 매층마다 창가에 식물을 배치하므로 건물 높이에 관계 없이 모든 건물에 적용이 가능하다. 3월∼9월(7개월간) 재배하되, 일조량이 많은 6월∼9월중 최성기 재배가 되도록 관리 유도하며, 재배중간에도 식물교체가 가능하여 2모작도 가능하다.","육묘,설치,관리등을?대행하는?새로운?일자리?창출-에너지?절감?및?원전,화력발전?줄이기에?기여-미세먼지?방지와?공기정화?및?가습효과-청소년?정서순화?및?자연학습?효과-실내에서?채소재배가?어렵다는?정설을?깨고?도시농업?활성화",2017-11-07,학교 창가에 덩굴성 식물재배로 일자리만들기.hwp
탈원전,내용,학교 창가에 덩굴성 식물재배로 냉방에너지 절감,-,교육/문화/체육/관광,인천광역시교육청,"- 탈원전 및 화력발전소 줄이기를 위한 에너지 대책이 요구됨 - 교실은 대부분 남향이어서 직사광선에 의한 냉방에너지 소모가 많으나 한정된 예산임에도 불구하고, 적정 수준의 실내온도 유지가 요구됨 - 최근 미세먼지 농도가 높아 일부 지자체에서는 교실에 공기청정기의 설치가 검토 되고 있으나, 공기청정기는 미세먼지의 악순환이될 수도 있어 이에 대한 대책이 요구됨 - 3포세대를 지나 7포세대로 몰리는 청년들에 대한 일자리가 요구되며, 나아가 노인 일자리 뿐아니라 은퇴 및 은퇴를 앞둔 베이비부머들에 대한 일자리 창출이 필요함","녹색커튼이라 하여 일부 관공서의 외부벽에 덩굴성식물(나팔꽃등)을 키워 직사광선을 차단하는 사례가 있으나, 기존 녹색커튼은 직사광선만 차단할 뿐이 기화열에 의한 실내온도는 낮추지는 못한다. 또한 식물이 외부에 식재되어 계절의 제약을 받을 뿐만아니라 저층건물에는 적용이 가능하나 3층 이상의 고층건물에는 적용이 어렵다  본 사업은 실내에 적용하므로 계절의 제약이 없으며, 매층마다 창가에 식물을 배치하므로 건물 높이에 관계 없이 모든 건물에 적용이 가능하다. 3월∼9월(7개월간) 재배하되, 일조량이 많은 6월∼9월중 최성기 재배가 되도록 관리 유도하며, 재배중간에도 식물교체가 가능하여 2모작도 가능하다.","에너지?절감?및?원전,화력발전?줄이기에?기여-미세먼지?방지와?공기정화?및?가습효과-청소년?정서순화?및?자연학습-실내에서?채소재배가?어렵다는?정설을?깨고?도시농업업?활성화-육묘,설치,관리등을?대행하는?새로운?일자리?창출",2017-11-07,학교 창가에 덩굴성 식물재배로 에너지 절감.hwp
탈원전,내용,"신고리5,6호기 관련 제안 드립니다.",-,산업/방송/통신/과학,산업통상자원부,"안녕하세요, 정말 수고가 많으십니다. 저는 현 정부가 두드러진 공적이 아니더라도 정의가 살아있는 국가로 정립하도록 기초수립에 기여만 해도 누구도 할 수 없는 크나큰 공이라 생각하며 지지하는 국민입니다. 그리고 이번과 같이 전문적인 지식도 필요하지만 국민의 의견청취도 필요한 사항에 대해 공식적인 시민참여단을 만들어 공식적인 의견청취 과정을 거친데 대해서도 좋은 과정이었다고 봅니다.  또한 저희는 탈원전 또는 원전과 관련하여 이익관계가 없는 상황으로 저 개인적으로는 탈원전을 지지합니다. 그러나 요즘 상황을 보며 나름 대안을 제시하고자 이렇게 글 올립니다.  탈원전이 신재생에너지로 전환하기에는 긴 시간이 필요하고, 원전으로 얻는 이익이 있는 집단과 에너지가 있으니 파기하기에는 현 정부, 이익집단, 그리고 국민들도 일정의 피해는 있으리라 생각합니다.","그래서 이미 건설이 시작된 신고리5,6호기를 중단하기 보다는 완공하도록 하고, 신고리5,6호기가 강담할 정도의 에너지를 공급하는 노후된 원전을 폐기했으면 합니다. 또는 그 이상의 노후 원전시설을 폐기할 수도 있겠습니다. 이를 계기로 효율성, 안정성이 떨어지는 노후 원전시설을 보다 발전된 새로운 원전시설로 전환하는게 좋겠다고 생각합니다.","그렇게 되면 새 원전으로 인해 건설 등으로 다수 국민이 이익을 볼 수 있고, 노후 원전시설의 폐기로 인해 이익을 얻게 되는 국민이 있을테니 정부 입장에서도 탈원전의 명분도 살리고, 새 원전 건설과, 구 원전시설의 폐기로 이익을 보는 국민들에게도 도움이 되지 않을까 생각합니다.  이미 많은 분들이 제안했을 수도 있는 제안이지만 조금이나마 도움이 되길 바랍니다. 수고하시고 건투하시기 바랍니다.",2017-10-20,
탈원전,내용,"탈원전의 시작은 고리5,6호기의 건설에서 시작된다",-,산업/방송/통신/과학,산업통상자원부,"저는 탈원전을 적극적으로 찬성하는 국민의 한사람입니다.우리나라의 현재 전력예비율이 충분하다고 하는데 그것은 아닌것 같습니다. 세계 제1의 국민성 때문에 착각을 하고 있는데 여름에 거의 대부분의 사람들은 에어컨을 켜지않고 생활했습니다. 자료는 한전의 전기요금을 납부한 것을 알아보면 될것입니다. 그리고 예비율이 충분하다면서 누진세, 문열어 놓고 에어컨을 켜면 단속하여 벌금을 부과한다는 자체는 예비율이 충분하지 않다는 것을 나타냅니다. 전력 예비율 보다 더욱 더 중요한 것은 안전인데 경주 지진을 겪은 지금 현재 지진,해일 등으로 부터 고리 3,4호기는 안전을 보장 할 수 없습니다.","지금 건설을 중단하고 있는 고리5,6호기는 내진구조는 설계부터 시공까지 고리3,4호기보다 훨씬 뛰어난 것으로 알고 있습니다. 그것을 폐기한다는 것은 안전을 무시하고 죽음으로 몰고 갈 수도 있다는 것을 강조 하고 싶습니다. 고리5,6호기를 더욱 더 튼튼하고 안전하게 건설하여 가동을 한 후에 5.6호기보다 내진구조가 뒤떨어지는 3,4호기를 폐기 하는 것이 진정한 탈원전의 시작이라고 봅니다.","이해 타산(문재인 대통령의 공약)이 아닌 진정으로 국민의 안전을 생각한다면 5,6호기의 건설을 과감하게 시행하십시요. 국민의 안전이 공약보다 우선하며 국민의 생명을 중요시하는 정부로 거듭나는 기대효과가 있을 것입니다. 진정한 탈원전의 시작은 고리5,6호기의 건설에서 시작됩니다.",2017-10-17,
탈원전,내용,신재생에너지 발명,-,산업/방송/통신/과학,산업통상자원부,"원자력발전소,수력발전소,화력발전소 등 현존하는 발전소로 인한 환경오염 및 전력공급 부족.",신재생에너지를 발명하였습니다. 이것으로 국가에 큰 보탬이되고 나아가 세계의 안전과 평화에 도움이되고 싶습니다.,"탈원전 ,충분한 전기 공급과 오염된 환경 개선 등",2017-10-17,
탈원전,내용,탈원전,-,산업/방송/통신/과학,산업통상자원부,탈원전 해서 어떻게 하자는 겁니까?,"지금도 전기 없어 여름에는 전기 없다고 난리인데, 여기다가 전기차 나오면 어떻게 하실 겁니까? 전기 없다는 소리를 하지 말던지! 전기차를 도입하지 말던지, 전기 공급량을 늘리기 위해 원자력 발전소를 늘리지 않으면 아예 전기차 도입을 하지 말던지 하십시오!","공론화 위원회라고 위원회를 만들어 왜 권한을 떠 넘기십니까? 엉뚱한 결과(신고리 원자력 발전소 폐지)가 나올지 걱정 입니다. 문재인 대통령님 왜 핵 발전소, 전술핵을 반대하십니까? 이해가 안 됩니다. 저는",2017-10-16,
탈원전,내용,태양광 버섯재배사관련 가중치,-,산업/방송/통신/과학,산업통상자원부,현황-과도한 버섯재배사 신축을 막고자 1년이상 버섯재배를 한후에 신청하여야지 가중치를 부여함 문제점- 모든 법과 조항에는 예외라는것이있는데 이조항에는 존제치않음  지난 제안시 특혜논란이란 사유로 답변을 주셨는데 마을사람5인이상이 마을공동사업을 태양광으로 하게되면 REC 가중치 0.2(20%)를 더주는 법은 특혜가 아닌지요? 농민이 자경한 농지를 매매시 세금혜택은 특혜가아닌지요? 타당하지도 않은 이유로 답변주시지 말았으면 합니다,개선방안 예외조항신설 1 기존에 버섯재배를 하는 농부(농지원부보유자)는 제외 2 신청일 현재 버섯재배를 2년이상하고있는 귀농인제외등 예외조항신설,이처럼 예외조항이있어야 중앙정부의 탈원전정책과 농부중심의태양광보급정책에도 도움이되어 투자용 태양광보다 농부들의 참여율이 높아질것으로 기대되며 농가소득향상에도 도움이되어 농지감소를 막는 효과까지기대됨,2017-10-12,
탈원전,내용,분산발전 및 자가 발전,-,산업/방송/통신/과학,산업통상자원부,"요즘 정전사태가 많이 일어나고 있다는 사실은 다들 알고 계실 겁니다. 하지만 정전사태가 일어나게 되는 원인을 알지는 못 할 것입니다. 정전사태가 일어나는 이유는 일단 우리나라 송전 배전방식에 있습니다. 우리나라는 중앙제어방식을 이용해 한 곳에 모든 전기를 받아서 사용하지만, 이 중앙제어방식은 한 곳에 과부하가 걸리게 되면 모든 것이 정지되고 정전사태가 일어나게 됩니다. 또한 현재 여러분이 전기를 사용하다보면 사용한 전기량에 비해 전기세가 많이 나올 때가 있으실 겁니다. 그 이유는 가정용 전기는 누진제 제도가 있기 때문입니다. 이 누진제는 산업용과 상업용에는 적용되지 않으며 오직 가정용에만 적용됩니다. 이렇게 높은 누진제를 가정용에만 적용한 이유는 무엇일까요. 가정용이 많은 양의 전기를 사용해서? 전혀 아닙니다. 우리나라는 점차 전기 사용량이 증가하였지만 생산된 전기의 50~60%는 산업용으로 사용됩니다. 산업용은 누진제가 적용되지 않으므로 매우 값싸게 전기를 사용하는 반면 일반 시민들은 높은 전기세로 인해 큰 부담을 느끼고 있습니다. 이처럼 누진세라는 전기요금 부가세는 서민들에게만 절약을 더욱 강요게 됩니다.  1. 환경 및 경제적 문제  우리나라의 화력발전소는 총 10개, 원자력 발전소는 총 24개가 가동 중이며, 발전소에서 생산되는 미세먼지는 세계보건기구(WHO) 산하 국제암연구소(IARC)에서 정한 1등급 발암물질로 폐암, 급성호흡기질환뿐만 아니라 허혈성 심장질환, 뇌졸중 등으로 인한 사망을 증가시키는 원인이 되며 아래 표와 같이 질소산화물(NOx), 황산화물(SOx) 등의 2200만 kg의 오염물질이 대기를 오염시키고, 오존층을 파괴하게 됩니다. 특히 원자력 발전소에서 발생하는 핵폐기물은 인간에게 해로운 방사선을 내뿜는데 안전한 상태가 되기까지는 매우 오랜 시간이 걸립니다. 원자력 발전소 사고의 예로 들자면 2011년에 일본에서 발생한 후쿠시마 원전사고가 있습니다. 이 사고로 인해 186조 천억 원의 피해를 보았고, 많은 인명피해가 발생했습니다. 이처럼 원자력 발전은 효율이 높은 발전이지만 그로 인한 사고 피해 규모도 매우 큽니다.  2. 전기사용량 문제  전기 사용량은 경제발전으로 인한 가전제품 소비 증가로 시간이 지날수록 점점 늘어나지만, 시민들은 아직도 높은 누진세로 전기 사용에 대한 부담을 가집니다. 2015년 에너지경제연구원이 발표한 한국의 1인당 가정용 전력 소비량은 OECD 34개 국가 중 26위였으며. 미국의 절반에 달하지도 못하는 적은 양입니다. 하지만 정부와 한전은 매번 한국인들이 가정용 전기를 마구잡이로 사용하기 때문에 누진제가 꼭 필요하고 폐지할 수 없다고 주장해 왔습니다. 2015년도 판매전력량을 계약종별로 나타낸 통계표를 보면 실제로 한국의 가정용 전력 소비 비율은 약 14% 정도입니다. 하지만 산업용 전력 소비 비율 56%에 비하면 매우 적은 편입니다. 산업용 전기사용의 심각성은 2011년에 발생한 대규모 정전사고를 예시로 들 수 있습니다. 2011년에 발생한 대규모 블랙아웃 사태는 갑자기 더워진 날씨 탓에 에어컨을 트는 국민들에 의해 전기 수요가 예상치보다 갑자기 오르면서 정전사태가 발생한 것으로 보고 되어있지만 이것은 갑자기 에어컨을 튼 국민들 탓보다는 많은 양의 전기를 사용하는 기업, 공장들이 더 큰 문제입니다. 이렇게 많은 전기를 사용하는 산업용에 맞는 전기 절약 정책이 필요합니다.  3. 신재생에너지 발전 지원 사업  태양광 발전을 개인이 설치하기 위해선 개인적인 부담이 크기 때문에 국가의 지원을 받아야 됩니다. 현재 정부가 추진 중인 신재생에너지 발전 지원 사업에 태양광 발전 지원도 포합되어있지만, 아직 태양광 발전 지원금을 원하는 인원에게 제대로 지원을 받고자 하는 사람이 많아 지원 대상자로 뽑힐 가능성이 낮기 때문입니다.","1. 스마트 그리드와 빅 데이터를 활용한 절약  우리 가정 내에는 모두 불필요하게 사용되는 전기가 있습니다. 만약 이 전기를 절약할 수 있다면 어떨까요? 보통 일반 가정뿐만 아니라 기업 내에서도 불필요한 전력사용은 분명 존재합니다. 이러한 문제를 해결하기 위해 실시간 양방향 정보 교환 기능을 하는 스마트 그리드와 빅 데이터를 결합해 기업 또는 공장안에서 전기를 어디서 어떻게 사용되는지 파악하고, 쓸데없이 사용되는 전기를 예방하여 절약하는 방법을 생각해보았습니다. 이 방법은 만약 분산발전이 공장 또는 기업 내에 설치되어 기업 내 일부 전기를 생산한다고 해도 그 양은 한정적이며, 날마다 생산되는 양이 다르기 때문에 일정한 소득을 얻을 수 없습니다. 또한 만약 기업이 분산발전을 실행한다고 하였을 때 분산 발전을 하기 위해 들어가는 새로운 인력과 시간적 자원을 절약하기 위해서라도 이 스마트 그리드와 빅 데이터를 이용하여 한국전력공사와 실시간으로 정보를 교환해 전기사용량을 시각화해 1차적으로 전기를 절약하여 기업 내의 이득과 전력 수급을 줄이고 이득을 볼 수 있는 방법이 될 수 있습니다. 만약 이 방법이 더욱 대중화 된다면 각 가정마다 설치가 되어, 내 가정에 사용되는 전기를 파악하고, 제어할 수 있게 되어 TV에서만 보던 편리한 삶이 될 것입니다.  2. 태양광 발전과 에너지 저장 시스템(ESS)을 이용한 분산발전  연간 전 세계에서 필요로 한 에너지는 15TW(테라 와트) 이상입니다. 이렇게 많은 에너지를 이용하다 보면 언젠가 석탄, 우라늄, 가스, 석유 등 자원이 고갈됩니다. 하지만, 지구에 1년간 입사되는 태양광은 86,000TW나 됩니다. 태양광 발전은 태양 빛이 비치는 곳이라면 어디든 발전을 할 수 있기 때문에 이러한 태양광 발전을 분산 발전으로 이용 할 수 있습니다.  이는 태양광 발전과 에너지 저장 시스템(ESS)을 결합하여 분산 발전을 하는 시스템이며, 이 시스템은 태양의 빛 에너지에서 생산된 전기를 에너지 저장 시스템(ESS)에 저장해서 필요할 때 사용할 수 있습니다. 태양광발전방식의 장점은 유지, 보수에 용이하고 수명도 20~25년 정도로 긴 편이기 때문에, ESS를 결합해 청정에너지를 무한히 발전하고, 저장할 수 있게 된다는 장점이 있습니다. 하지만 일반가정에서 설치하기에는 비용적인 부담이 크다는 단점과 태양광 발전을 하기 위해 필요한 토지가 적어 효율적으로 나쁘다는 문제가 있습니다. 이 문제를 해결하기 위해서는 국가에서 태양광 발전 지원 사업을 통해 설치비용을 일부 부담함으로써 소비자의 부담을 감소시켜 점점 태양광 발전을 대중화 시켜야 되며 최대한 자연을 파괴하는 쪽이 아닌 높은 건물의 벽이나 옥상 등에 설치하여 사용하여야 합니다. 태양광 발전을 이용한 분산발전의 예를 들면 “포스코ICT는 기존 건물과 공장 지붕에 태양광 패널을 설치하여 1 MW급 소용량 발전을 하면서 그에 동시에 전력거래소에 전력을 판매하는 사업을 진행 중이며 앞으로도 태양광 발전 사업이 성장할 것이라고 밝혔습니다.","1. 태양광 에너지 저장 시스템을 통해 가정이나 학교, 기업에서 전기를 따로 생산하기엔 기본적인 자금이나 경제적문제가 크기 때문에, 먼저 정부의 신재생에너지 지원 사업이 더욱 확대 되어야 됩니다. 현재 문재인 정부가 들어서면서 태양광과 같은 신재생에너지 지원 사업이 확대되어 지원금이 늘어나게 되었습니다. 이 지원금을 이용해 일반 가정과 학교, 기업에 태양광 발전을 할 수 있도록 해야 합니다. 태양광발전은 친환경적이고 무한한 에너지이기 때문에 환경을 훼손하지 않습니다. 가정용 같은 경우는 에너지절약을 함으로써 누진제 단계를 낮출 수 있으며, 산업용은 많은 양의 전력소모를 줄여 사회적 인식을 개선하고 친환경 발전으로 이득을 얻을 수 있습니다. 또한 현 정부는 탈원전 인해 오래된 발전소를 정지시키고 있습니다. 발전소 정지로 인해 생기는 문제를 태양광 발전소를 설치함으로써 전력문제해소에 도움을 줄 수 있을 것입니다.   2. 스마트 그리드와 빅 데이터를 활용한다면 위에서 수없이 언급된 산업용의 전력사용량을 1차적으로 줄일 수 있는 좋은 방법입니다. 일본의 가장 많은 전기를 사용하는 도쿄 대학은 효율적인 전기 제품을 사용하고 스마트 그리드를 사용하여 실시간으로 대학 전체의 냉방, 난방이나 조명 등을 직접 조절할 수 있도록 하는 등의 계획을 실천해 무려 30%의 전기를 절약하였으며, 이 건물에 사용된 6억 7천만원의 투지비를 무려 2년만에 회수하였습니다. 하지만 현 상태에서 갑자기 기업이나 공장이 절약을 할 순 없기 때문에 이 방법을 통해 장기적으로 불필요한 전기소모를 줄이고, 산업용이 많은 전기를 사용한다는 인식도 벗을 수 있습니다. 또한 이 방법은 산업용뿐 아니라 가정용, 일반용 모두 사용 할 수 있도록 점점 대중화 시켜 미래의 4차 산업혁명에 한 걸음 더 발맞춰 나갈 수 있게 될 것입니다.",2017-09-28,분산발전 및 자가발전.hwp
탈원전,내용,사드철수를 통한 외교적 갈등 해결,-,국방/보훈/외교/통일,외교부,"현재 1.북핵, 2.원전, 3.미세먼지로 인해 한국이 곤란을 겪는중. 1.북핵은 여러 국가와 같이 제재를 하여 북한에 압박을 주지만 중,러의 소극적인 참여로 뚜렷한 제재를 기대하기 어려움.  2.원전은 큰 위험성으로 인해 정부에서 탈원전을 추진하지만 중국은 동부지역(한국의 서해)에 원전 설치를 추진중. 만일 중국에서 원전사고가 터진다면 방향으로 인해 우리나라에 큰 타격을 주는것이 불가피.  3.미세먼지는 중국의 영향으로 이전보다 더 안좋아지고 국민들이 이 영향을 받는중.",사드로 통해 3가지 문제 해결에 추진.  그러나 현실적으로는 3가지 문제를 한번에 해결하기에는 무리가 있는것으로 보임  먼저 북핵 문제를 해결해가며 원전과 미세먼지에 대한 해결 추진.  그러나 북핵문제를 해결하려는데 러시아의 방해가 우려. 러시아도 해결하려는 태도를 유도하기 위해서는 먼저 북한이 최근에 미사일을 예상보다 더 위험하게 다룬다는 이유로 사드의 사거리를 이전보다 더 확대(러시아 영역까지)하여 이후에 사드철회로 통한 문제해결 시행.  원전은 건설중인 것이 많기에 건설 중지시키기엔 힘들어보임. 그렇기에 원전에 의한 피해 발생시 막대한 금전적 배상을 하는 조약 협조하거나 한국인이 중국으로 파견하여 원전 상태를 점검.,"결과적으로 사드 철회로 통해 중국의 경제 보복철회, 북핵해결, 미세먼지 해결, 원전 사고 예방을 주도적으로 가능",2017-09-20,"1505907234167.JPEG
1505907487592.JPEG
1505907485013.JPEG"
