,검색키워드,검색범위,시작일,단계,참여인원,제목,날짜,좋아요개수,댓글개수,본문내용,참여기간,관련주제,관련지역,태그,댓글내용
242,기후변화,내용,2020-08-21,종료,40,기상기후 연구성과 실용화를 위한 국립기상과학원의 역할?,2020.09.07,11,40,"[자료이용] 연구자료 제공요소에 대한 안내는 충분합니까? 파일 형식, 해석 등 사용상 어려운 점은 무엇입니까?
[자료전달] 자료의 생산으로부터 최종 고객전달 과정까지 오프라인으로 제공되는 현재의 과정에서 개선할 점은 무엇입니까?
[기타] 기상청 업무지원과 기관의 우수성과 창출 동시 목표를 달성하기 위해 국립기상과학원이 노력해야 할 점은?
 ❍ 자료이용 및 전달
   - 궁금증 해결에 용이한 접근 수단 마련
   - 다양한 형식의 자료 제공
   - 과학원 제공 자료 홈페이지 마련(웹상에서의 자료 신청 및 다운로드)
   - 제공 자료 이용 매뉴얼 개선(동영상 등 첨부)
   - 오프라인 제공 자료 현황 홍보
   - 홈페이지 상에 부서 및 직원의 상세 업무 표시(누가 어떤 자료를 제공할 수 있는지)
   - 제공 자료의 이미지 샘플 혹은 예시 파일 시각화
 ❍ 국립기상과학원의 노력
   - 국민 및 아이들을 위한 기후변화와 그 영향 교육자료 작성 및 배포
   - 실무 중심의 연구기관으로 발전하려는 노력 필요
   - 부처간 기후 관련 협력업무에서의 주도권 확보
   - 실무중심, 관측 데이타처리 예보, 통보의 과학화 선진화, 국산화를 핵심목표로 하고 장기목표 수립
   - 실용적 연구개발 사업 발굴 및 수행
   - R&D 수행 예상 결과 개방 및 적극 홍보
   - 우수직원 보상을 위한 성과제도 도입
   - 기술이전 확대 및 기술사업화 R&D 예산 지원, 원천기술 보유자 지원
   - 지원업무의 성과화
  ※ 본 토론에 적극적으로 참여해주신 분을 추첨하여,
     코로나19경제 및 지역내수 활성화를 위한 온누리 상품권 1만원권을 보내드립니다.",2020-09-07~2020-09-21,통신·과학>과학기술연구,제주특별자치도>서귀포시,,
243,기후변화,내용,2020-09-04,종료,37,동물.식물 R&D 분야 중 최우선으로 수행되어야 할 연구분야는?,2020.09.04,1,2,"  ♣ 농림축산검역검사 기술개발의 최우선 연구분야는 내손을 결정한다!!
     국민여러분께서 ""직접"" 투표해주세요
     투표기간 : 2020. 9. 4.~ 9.18.
      * 투표결과는 향후 연구과제 기획 등에 기초자료로 활용할 예정!!
◆ 농림축산검역본부에서 수행하는 R&D분야 중 최우선으로 수행되어야 한다고 생각하는 연구분야는?
1. 국가재난형질병 연구
   - 구제역, 조류인플루엔자, 아프리카돼지열병 등 발생 시, 사회.경제적으로 막대한 피해를 가져오는 질병에 대한 연구
2. 동물질병 방제 연구
  - 국가재난형 질병은 아니지만, 생산성 감소 등으로 인해 축산분야에 어려움을 가져오는 질병에 대한 연구
3. 동물보호.복지 연구
  - 반려동물, 농장동물, 실험동물 등에 대한 적절한 사육환경 제공, 학대금지 등 동물을 보호하고 복지수준을 높이는 연구
4. 동물의약품 연구
  - 동물 질병을 사전에 예방할 수 있는 소독제, 조기에 진단하고 치료할 수 있는 진단법 및 치료제의 개발 연구
5. 기후변화 대응 연구
  - 기후 온난화에 따른 해외 동물질병 원인체나 매개체의 유입방지 및 확산차단 등을 위한 사전대응 연구
6. 인수공통 감명병 연구
  - 광견병, 브루셀라, 중증열성 혈소판감소증후군( SFTS) 등, 동물과 사람 사이에 서로 전파되는 병원체에 의한
    전염성 질병에 대한 연구
7. 미래변화 대응기술 연구
  - ICT 융복합기술, 줄기세포.소포체.오가노이드 등을 이용한 첨단 바이오기술 활용 연구
8. 식물검역 기술 연구
  - 식물의 감영병이나 해충의 번식.확산을 방지하고 수출입 식물을 통한 병해충 유입 방지 연구
 ",2020-09-04~2020-09-18,농림·해양·산림>기타,,,
244,기후변화,내용,2020-08-31,종료,7,안전과 환경을 고려한 친환경 사방사업 활성화 방안,2020.08.31,2,7,"o 지구온난화 및 기후변화 등에 따라 국내·외적으로 이상기후의 영향으로 재해 발생 가능성이
   지속적으로 증가하고 있는 추세입니다.
   - 최근 5년간 산사태는 꾸준히 발생하고 있으며, 복구비가 계속 증가
 
o 그리고 황폐지 복구 및 산사태 예방 차원의 사방사업*에 대한 필요성에 대하여 공감대가 형성
  되어 있기도 합니다.
  - 집중호우 및 태풍 등 영향을 받은 지역주민들의 끊임없는 사방사업 요청
     * 사방(砂防)사업 : 황폐지를 복구하거나 산지의 토석･나무 등이 유출되는 것을 막기 위해 공작
     물을 설치 또는 식물을 식재하는 사업(사방사업법 제2조)
 
o  또한 ""친환경 사방시설 우수사례 경진대회"" 개최 등으로 사방업무 담당자들의 기존 사방사업
  추진방식에 대한 전환 분위기도 마련되었습니다.
 
o 따라서 재해예방과 더불어 산림환경을 고려한 친환경 사방사업의 정체성 확립을 위해 산림청
   에서는 친환경 사방사업 활성화 방안을 찾고자 합니다.
 
o ""안전과 환경을 고려한 친환경 사방사업 활성화 방안""을 다양한 측면에서 자유롭게 찾아보기
    위하여‘국민생각함’을 통해 국민의 의견을 수렴하고자 하오니, 많은 의견 남겨주시기 바랍
    니다.
 ",2020-09-01~2020-09-07,농림·해양·산림>산림·산촌,,,
245,기후변화,내용,2020-08-31,종료,45,산사태 피해를 예방할 수 있는 아이디어를 알려주세요!,2020.08.31,5,45,"지구 온난화 등 기후변화로 생긴 긴 장마와 태풍, 국지적인 폭우로 인해
산사태가 발생하여 국토가 황폐되고 있습니다.
특히 생활권 주변에 산사태가 발생 할 경우 소중한 인명과 재산 피해로
국민들의 마음을 안타깝게 하고 있습니다.
 
최근 20년 동안 대표적인 산사태 피해는 루사(2002), 매미(2003), 에위니아(2006),
볼라벤‧덴빈‧산바(2012), 솔릭(2018), 미탁(2019), 바비(2020) 등
태풍이 지나가면서 많은 비와 강한 바람으로 큰 피해를 주었습니다.
2011년에는 국지성 집중호우로 인해 우면산 산사태가 발생하여 우리를 놀라게 했고,
긴 장마(’13년 49일, ’20년 55일)도 국토에 할퀸 상처를 남기고 지나갔습니다.
 
이러한 집중호우로 인해 매년 평균 419ha의 산사태가 발생하고 있으며,
산림청에서는 산사태취약지역 지정‧관리, 사방시설 설치, 산사태 예측정보 발령, 산악기상관측망 구축 등
다각적인 대책으로 산사태 피해를 예방하기 위해 노력하고 있습니다.
특히 사방시설이 산사태를 예방하는데 크게 기여한다는 언론보도도 있었습니다.
 
이 외에도 산사태를 예방하기 위한 대책과 노력이 더욱 필요한데,
국민 여러분의 다양한 의견을 듣고 정책에 반영하고자 합니다.",2020-08-31~2020-09-30,환경>자연환경,,#산사태 #태풍 #집중호우 #호우 #폭우 #물난리,
246,기후변화,내용,2020-08-28,종료,0,대한민국의 거짓말 ? 노벨상을 받을수 있다,2020.08.28,0,0,"대한민국의 거짓말? 
대부분의 사람들은 에너지보존법칙이 틀렸다는 걸 증명하면 노벨상을 받을 수 있다고  말한다 
그러나 대한민국에선  에너지보존법칙이 틀렸다는 증명을 할 수가 없다  
증명하려는 사람의 학력이 중졸이기 때문에  정부와 과학계에선 증명에 대한 검증을 거부한다 
학력 때문에 논문을 쓸 수 없으니  사실증명에 대한 권리만 보장해달라고 해도 
정부와 과학계에서는 중졸이라는 이유로 검증을 거부한다
이 글은 위키백과사전에서 복사한 1종 영구기관에 관한 설명의 글이다 
제1종 영구 기관 
1종 영구 기관은 열역학 제1법칙에 위배되는 영구기관을 말한다. 에너지 보존법칙에 의해 어떠한 기관도 공급한 에너지보다 많은 일을 할 수 없다. 에너지 공급 없이 외부로 일을 하는 것은 불가능하다. 수차(물레 방아) 모형이 1종 영구기관의 대표적인 예인데, 이 영구기관은 떨어지는 물을 이용해서 수차를 돌리고 이 수차가 떨어진 물을 다시 위로 퍼올림과 동시에 외부에 일을 하도록 설계되어 있다. 수차는 물의 위치에너지를 이용하여 바퀴를 돌리고, 이 바퀴와 연결된 장치가 외부에 일을 하게 된다. 이때 물은 바닥으로 떨어지면서 위치에너지의 변화가 생기고 이 변화량의 일부가 일에 쓰인다. 수차 영구 기관이 실제로 작동하려면 떨어진 물을 계속 원래의 높이로 퍼올려야 하는데 이것이 에너지 보존법칙에 위배된다. 물을 원래 높이로 퍼올린다면 물의 위치에너지 변화는 없게 되므로 일에 쓰일 수 있는 에너지가 공급되지 않는다. 게다가 수차의 마찰과 저항에 의해 손실된 에너지가 존재하므로 물을 원래 높이까지 퍼 올리는 것부터 불가능한 일이다.
게다가 수차의 마찰과 저항에 의해 손실된 에너지가 존재하므로 물을 원래 높이까지 퍼 올리는 것부터 불가능한 일이다.
현대 과학에선 수차의 마찰과 저항 때문에 물을 위로 퍼 올리는 자체가 불가능하다고 말한다  
그러나 이것은 현대 과학의 치명적인 실수다  마찰과 저항 때문에 물을 위로 퍼 올리는 것이 힘들긴 하지만  절대로 불가능한 것은 아니다  마찰과 저항을 이용해 물을 위로 퍼 올리는
가능한 방법이 있다  
절대로 불가능한 게 아니라  가능하게 해줄 방법이 있다  
마찰과 저항 때문에 물을 위로 퍼 올릴 수 있는 방법을 찾지 못한 거지 물을 위로 퍼 올릴 수 있는 방법은 있다
그러므로 에너지보존법칙에서 말하는 1종 영구기관의 설명이 틀리게 되므로 마찰과 저항 때문에 불가능하다고 말한 것은 에너지보존법칙이 틀렸다는 말이 된다 
중졸한테 노벨상 주라는 소리가  아니라  학술적으로  틀린것을  올바르게 고쳐 주겠다는 뜻인데도
노벨상을 받을 수 있는  사실증명 해준다는데   정부와 과학계에서는   검증을 거부한다   
말로는 노벨상  ~  노벨상 ~  노래를 부르지만   검증 자체를 안 해주는데   어떻게  노벨상을 받을 것인가? 
이것이 현재의 대한민국 현실이다 
에너지보존법칙이 틀렸다는 걸 증명할 수 있게 해준다면  노벨상을 문제를 떠나서 과학기술정보통신부에서 2045 년까지
시행하는 과학 난제 3 가지를 바로 해결할 수가 있다
1. 기후변화 문제를 하늘 위의 강추위를 이용하여 뜨거워진 대기를 물리적으로 식혀줄 기후조절장치를 만들 수 있다
2. 핵융합 발전 보다 먼저 청정에너지인 중력 에너지로 원자력을 대체할 에너지를 만들 수가 있다
3. 전 세계의 교통대란 문제와 매연으로 인한 기후변화 문제를 해결할 현재보다 이동시간을 10 배 빠르게 단축할수 있는
연료 없이 빠르게 갈 수 있는 새로운 교통수단을 만들어 낼 수 있다
에너지보존법칙이 틀렸다는 걸 증명하면 몇 가지의 과학 난제는 간단하게 해결할 수 있다 문제가 있다면 방법을
제시했는데 문제를 해결할 의지가 있냐 없냐의 차이가 있을 뿐 이론과 사실증명은 가능하다
미래의 신기술로 대한민국이 전 세계에 빛나게 할 수 있다 특허를 먼저 낼 수 있다면 제일 부강한 나라가 될 수도 있다
 ",2020-08-30~2020-10-29,통신·과학>과학기술연구,,,
247,기후변화,내용,2020-08-24,종료,0,"종로구의 온실가스 감축 노력, '1·1·1 생활 실천운동'을 소개합니다.",2020.08.24,2,0,"기후변화의 원인으로 꼽히고 있는 온실가스! 폭염, 호우 등 극한기상과도 연관이 높은데요.
온실가스의 대부분은 가정, 상업, 수송에서 배출됨에 따라 주민과 가까운 기초지차체의 역할이 중요합니다.
종로구는 도심에 위치해 대형 건물과 상업시설이 밀집되어 있고 차량이동과
유동인구가 많아 탄소가 다량 배출되는 지역 중 하나입니다.
그러나 인왕산, 북악산, 낙산, 북한산 등 풍부한 녹지공간으로 도심이 배출하는 탄소를 다시 흡수하기도 하죠!
이런 특성을 살려 '저탄소 생활양식으로의 전환'을 꾀하고자 '1·1·1 생활 실천운동'을 추진중에 있는데요
 **1·1·1 생활 실천운동이란? 1인이 1년간 온실가스 1톤을 줄이는 생활실천 운동** 
 그 첫 걸음으로 '1·1·1 생활 실천 운동 슬로건 공모전'을 시행합니다.
많은 참여와 관심 부탁드립니다~~
 ",2020-08-24~2020-08-28,환경>기후·기상,서울특별시>종로구,,
248,기후변화,내용,2020-08-18,종료,0,[서울시 용산구] 보호수 생육진단 모니터링 사업,2020.08.25,0,0,"■ 사업개요
  지역의 역사성과 상징성을 간직하고 있는 보호수 관리를 위해 생육상태를 실시간으로 확인할 수 있는 모니터링 센서를 설치함으로써 기후변화에 대응하여 체계적으로 보호수를 관리하고자 함지역의 역사성과 상징성을 간직하고 있는 보호수 관리를 위해 생육상태를 실시간으로 확인할 수 있는 모니터링 센서를 설치함으로써 기후변화에 대응하여 체계적으로 보호수를 관리하고자 함
■ 사업목표
  ○ 보호수에 대하여 실시간 모니터링으로 정밀관리
  ○ 기상이변 등 환경변화에 따른 이상 생육현상 조기진단 가능
■ 사업개요
  ○ 위  치 : 관내 보호수 19주 (서빙고로 67 등 8개소)
  ○ 기  간 : 2020. 2. ~ 12.
  ○ 내  용 : 모니터링 센서 및 통신장비 15주 신규 설치
              (2019년 기 설치 4주)
■ 추진경위
  ○ 2020. 3. 9. : 「보호수 생육진단 모니터링사업」추진계획 수립
  ○ 2020. 3. 20. : 물품구매 일상감사 실시
  ○ 2020. 5. 13. : 모니터링 센서 납품 및 설치 완료
  ○ 2020. 6. 29. :「보호수 생육진단 모니터링사업」 결과보고
■ 향후계획
  ○ 2020. 7. ~ 12. : 보호수 실시간 모니터링 지속 추진
■ 현황사진
센서 및 통신장비 설치완료
========================================================
※ 상기 사업에 대한 다양한 의견 등록 부탁드립니다.",2020-08-24~2020-08-24,일반공공행정>자치행정,,,
249,기후변화,내용,2020-08-21,진행중,2,에너지전환 확산과 高효율·低소비 경제 기반 확립을 위한 제6차 에너지이용 합리화 기본계획(’20~’24)을 발표합니다.,2020.08.21,0,2,"   에너지전환 확산을 위한 高효율·低소비 경제 기반 확립
  - 제6차 에너지이용 합리화 기본계획(’20~’24) 발표 -
- 2024년까지 국가 에너지효율 13% 개선, 에너지소비 9.3% 감축 -
- (효율향상) 투자 확산·지자체 중심 / (수요관리) 실시간 모니터링·상향식 참여 기반 -
  □ 정부는 8월 19일(수)에너지위원회를 개최하고 ｢제6차 에너지이용 합리화 기본계획(’20~’24)｣을 심의, 확정하였다.
  □ 금번 에너지이용 합리화 기본계획은 정부가 작년에 수립(’19.6.4일)한 에너지 분야 최상위 계획인 ｢제3차 에너지 기본계획｣의 수요 부문 국가 중장기 실행 전략으로서,
  ㅇ ‘에너지전환’의 정착과 확산을 수요 측면에서 뒷받침하고, 기후변화와 “코로나 이후의 시대”에 선제적으로 대응하기 위한 중장기 수요관리 및 효율 향상의 비전을 제시하였다는 데에 그 의미가 있다.
  < ｢6차 에너지이용 합리화 기본계획｣ 3大 추진방향 >
  < 5차 계획 >
  < 6차 계획 >
▲ 효율향상 :
규제 위주ㆍ중앙정부 주도
➡
투자 확산·지자체 중심
▲ 수요관리 :
이행후 점검ㆍ하향식 지도
➡
실시간 모니터링·상향식 참여
▲ 제도개선 :
사후적ㆍ기업부담 완화 위주
➡
선제적·에너지전환 확산 촉진
□ 정부는 동 계획을 통해 2024년까지의 에너지 효율 개선, 수요 감축 목표를 제시하였는데,
  * 에너지원단위 : 2020년 대비 13% 개선(0.108 → 0.094TOE/백만원)
에너지 소비 : 기준수요(BAU) 대비 9.3% 감축(194.7 → 176.5백만TOE)
  ㅇ 이는 지난 제5차 계획(’14)* 대비각각 에너지원단위는 1.5배, 수요감축은 2.3배 향상된 수치이다.
  * 에너지원단위는 ’13~’17년간 8.7% 개선, 수요감축은’17년 기준(BAU) 대비 4.1% 감축
  □ 금번 6차 계획의 3大 방향별 핵심 추진과제를 살펴보면
  □ 투자 확산·지자체 중심의 에너지효율 향상 추진
  ① 에너지절감 유망사업에 자금ㆍ세제 지원을 확대하여 관련 투자 활성화
  - 자금 : 중소ㆍ중견기업 대상유망 효율개선 사업 융자 우선 지원
  * ESCO 투자사업, 에너지진단 결과 이행사업중 절감률이 10% 이상 예상되는 사업
  - 세제 : 투자유인을 위한 투자세액공제제도 개편*, 세액감면** 연장
  * (현행) 특정시설별 공제(예: 에너지절약시설은 대기업/중견/중소에 1/3/7% 적용)
→ (향후) 기본공제(1/3/10%) + 추가공제 3%(직전 3년 평균대비 투자증가분)
  ** ESCO 등 중소기업 특별세액감면 대상업종 세액감면 2년 연장(‘20년말→‘22년말)
  ② EERS 도입, 건물 제로에너지화 투자 등으로 新투자시장 창출
  - 산업분야 자발적 에너지효율 목표제* 및 EERS** 도입
  * 에너지효율 목표제 : 에너지다소비 사업장(연간 에너지사용량 2,000TOE 이상)
대상의 자발적 에너지원단위 개선 목표제
  ** EERS(Energy Efficiency Resources Standard, 에너지공급자효율향상 의무화 제도)
: 에너지공급자(한전, 가스공사, 한난) 대상연도별 에너지절감목표(판매량대비 일정비율)를 부여하여 목표 달성을 위한 에너지효율 향상 투자를 의무화
  - 건물 그린리모델링*, 그린스마트스쿨** 등 高효율화 투자 촉진
  * 공공임대주택(~‘25년, 22.5만호), 어린이집ㆍ보건소ㆍ의료기관(~’21년, 2,170동) 등
** 국립 55동, 공ㆍ사립 초중고 2,835동(~‘25년)
  ③ 분권화와 지역 네트워크 구축으로 지자체 중심 에너지 효율 향상 촉진
  - 에너지진단 범위ㆍ내용을 시ㆍ도 조례로 위임하고, 개선명령ㆍ과태료부과 권한을 시ㆍ도에 이양하는 등 에너지진단ㆍ개선 권한을 시ㆍ도에 부여
    진단 범위・내용
진단 결과
개선명령
과태료
          <현행>
산업부 고시
에너지공단이 접수・관리
산업부
산업부
  ⇩
⇩
⇩
⇩
<변경>
산업부, 시・도지사
시・도에 공유
시・도지사
시・도지사
  - 지자체 중심 협력 네트워크 구축*을 통해 지역에 특화된 효율 개선 추진
  * 지자체, 기업, 대학ㆍ연구기관, 에너지 전문기관 등이 참여, 현장맞춤형효율개선 지원
  □ 실시간 모니터링·상향식 참여 기반 수요관리 강화
  ① 데이터 수집ㆍ공유ㆍ활용을 촉진하여 수요관리 디지털화
  - 수집: 전력ㆍ가스 등 AMI 보급 확대*로 실시간 데이터수집 확대
  * 아파트500만호전력 AMI 설치(’20~’22년), 6개 지역(제주·서울·경기·강원·대구·광주)에 3만대의 가스 AMI 보급ㆍ검증(’19~’21년) 등
  - 공유: 전력 데이터 공유 플랫폼 고도화
#이하 자세한 내용은 첨부파일 참고하시기 바랍니다.
 ",2020-08-21~2024-08-20,경제·산업·통상>에너지및자원개발,,,"항상 완벽한 것은 없습니다. 이런 계획과 시행을 통해 잘 보완해서 에너지전환 확산을 위한 高효율·低소비 경제 기반의 성과가 나올 수 있도록 한 걸음씩 꾸준한 모습 부탁드립니다.
에너지전환이 성공적으로 정착되어 고효율, 저소비를 이끌어 내는 계기가 되었으면 합니다."
250,기후변화,내용,2020-08-12,종료,11,'2020 세계 식물건강의 해' 관련 효율적인 홍보 방안,2020.08.12,1,11,"2020년은 UN(국제연합)이 정한 세계 식물건강의 해입니다.
최근 국제교역 증가 및 기후변화로 인해 외래 병해충으로부터 식물 보호에 대한 중요성이
국제사회의 이슈로 떠오르고 있습니다. 그 동안 인류는 식량 확보를 위해 건강한 식물을 재배하여
수확량을 늘리는 방법을 찾기 위해 노력해왔습니다. 수확량을 늘리고 이를 유지하려면 무엇보다
중요한 것이 병해충의 피해를 최소화하는 것이지만, 국제 무역이 활성화되고 해외여행객이 많아지면서
다양한 경로를 통해 식물병해충이 새로운 지역으로 확산되어 많은 피해를 끼치고 있습니다.
그러나 안타깝게도 이러한 피해사례는 이제 더 이상 다른나라 이야기가 아닙니다. 
1988년 유입되어 소나무가 노랗게 말라죽는 소나무재선충, 2015년 안성, 천안 지역에서 발생한
과수화상병, 2017년 부산항 컨테이너 야적장에서 처음 발견된 붉은 불개미 등은 우리나라 농업과
자연환경에 큰 피해를 끼치는 외래 병해충입니다.   
이러한 외래 병해충의 유입경로는 식물류 뿐만 아니라 공산품 등 다양해지고 있으며 공항만에서
검역을 통해 유입을 방지하고 있으나 정부의 노력만으로 차단하기는 어려운 실정입니다.
 
이에, 식물건강에 대한 국민들의 인식 제고 및 학계, 산업체 등 각계각층의 이해와 참여를 위한 
2020년 세계 식물건강의 해 관련 효율적인 홍보 방안을 마련하고자 대국민 의견을 수렴하고 있으니
많은 관심과 참여 부탁드립니다.  
 ",2020-08-18~2020-08-27,농림·해양·산림>농업·농촌,,#식물건강 #식물검역,
252,기후변화,내용,2020-08-18,종료,0,건물 온도를 낮추는 친환경 방법은?(쿨루프 사업),2020.08.18,0,0,"관악구, 건물 온도 낮추는 쿨루프 '효과 있네'
- 서울시 유일, 환경부 국비 1억 2천만 원 확보…구립경로당 등 46개소 공사완료
- 폭염 시 옥상 온도 최고 30℃ 감소, 하절기 냉방에너지 사용 약 20% 절감!
   관악구가 지난 6월 구립경로당, 구립어린이집 등 건강 취약계층 이용 공공시설 46개소 옥상에 쿨루프(Cool Roof)를 조성하고, 열화상카메라를 이용해 시공 전·후 효과를 입증했다.
 
  쿨루프(Cool Roof)는 태양광 반사 및 열방사 효과가 있는 하얀색 페인트를 옥상에 시공하는 것으로, 한여름 옥상 온도를 최대 30℃ 낮추고, 옥상에 열기가 축적되는 것을 막아 폭염 및 열섬, 열대야 피해를 방지하는 효과가 있다.
 
  또한, 옥상온도를 낮춤으로써 여름철 건물 내부의 냉방에너지 사용을 절감하고, CO₂ 배출을 줄여 대기오염 개선과 지구온난화를 완화하는 장점도 있다.
 
  구 관계자는 “지난 9일, 옥상에 쿨루프가 조성된 중앙동 중앙경로당과 주변 건물 옥상 온도를 열화상카메라를 이용하여 측정한 결과, 중앙경로당은 37.2℃, 길 맞은편 건물은 59.2℃로 무려 22℃의 온도 차이가 있었다.”라며 쿨루프 시공 전·후 효과에 대해 설명했다.
 
  구에서 추진한 이번 ‘공공시설 대상 쿨루프 조성 사업’은 환경부가 시행하는 ‘2020년 기후변화대응력 증진 국고보조사업’에 관악구가 적극 공모 참여해 이뤄낸 결과이다.
 
  서울시 자치구 중에서는 관악구만 유일하게 선정돼, 국비 1억 2천만 원을 지원받았으며, 구비 1억 2천만 원과 함께 총 2억 4천만 원을 투입하여 상반기 중 공공시설 46개소에 쿨루프 조성을 완료했다.
 
  관악구는 “쿨루프(Cool Roof)는 옥상 녹화에 비해 적은 비용으로, 다양한 지붕 형태에도 시공이 가능한 효율적인 에너지 절약 기법”이라며, “실내 온도를 낮춰 도시 열섬을 피하고 냉방에너지까지 절감할 수 있는 쿨루프(Cool Roof) 조성 사업이 민간에서도 활성화 될 수 있도록 적극적으로 홍보하겠다.”라고 말했다. ",2020-08-18~2020-08-26,환경>기후·기상,서울특별시,#서울시관악구 #쿨루프,
253,기후변화,내용,2020-08-16,종료,0,녹색금융 관련 의견을 구합니다.,2020.08.16,0,0,"□ 8.13일(목) 금융위원회는 금융권의 관심을 제고하기 위해「녹색금융 추진TF 첫 회의(Kick-off)」를 개최하였습니다.
< 첫 회의(Kick-Off) 개요 >
 
■ (일시/장소) ’20.8.13.(목) 10:00~11:00 / 정부청사 금융위원회 대회의실
 
■ (참석자) 금융위(부위원장 주재) 등 정부부처, 금융권 및 금융유관기관, UNEP FI*(UN환경계획금융이니셔티브), GCF**(녹색기후기금) 등 자문단
 
* United Nations Environment Programme Financial Initiative / ** Green Climate Fund
 
 
□ 금일 회의에서는 최근 국내외 논의동향, 과거 녹색금융 추진관련 그간 애로사항 및 향후 정책추진시 건의사항 등에 대해 다양한 관계기관이 발제 및 토론하였습니다.
 
ㅇ참석자들은 관련논의가 금융시장에 “위협요인”이 아닌 “기회요인”이 될 수 있도록, 民官의 긴밀한 소통을 통한 일관성 있는 정책이 중요하다고 제언하였습니다.
 
□ 금융위원회 손병두 부위원장은 국제결제은행(BIS)에서 제기한 「그린스완*」개념을 언급하면서,
 
* 예견된 정상범주를 벗어나서 발생하는 기후현상[☞BIS, 기후변화로 인한 금융위기 가능성을 경고하는 「그린스완 보고서(The Green Swan)」 발간(‘20.1월)]
 
ㅇ 금융권에서는 기후변화 리스크를 식별하고 관리·감독하는 등 기후변화에 적극적으로 대응(adaptation)하는 한편,
 
-기후변화 완화(mitigation)를 위한 녹색투자를 확대함으로써 지속가능성장의 디딤돌 역할을 수행해야 한다고 발언하였습니다.
 
ㅇ 아울러 녹색금융 정책의 일관성 있는 추진을 위해 금융위원회가 적극적으로 나서겠다고 발언하면서,
 
-시너지 효과를 위한 民官의 적극적인 협조를 당부했습니다.
붙임 첨부파일을 참조하여 '녹색금융' 관련 여러분의 고견을 기재해주시면 감사드리겠습니다.
감사합니다.",2020-08-16~2020-08-16,경제·산업·통상>금융,,,
254,기후변화,내용,2020-08-15,종료,6,에너지 홈닥터의 활동영역을 넓혀주세요~,2020.08.15,2,6,"사하구에서는 에너지 홈닥터 에너지 절약 컨설팅을 실시하고 있습니다.
기      간 : 2020. 8. 10. ~ 10. 9.
사업대상 : 500세대
내      용
  - 에너지 홈닥터가 각 세대를 방문하여 에너지사용 실태 측정 및 에너지 절약 방법 제시
  - 기후변화대응 시책 및 에너지 고효율 제품 홍보 등
에너지 절약을 위하여 에너지 홈닥터의 활동 영역을 확대할 수 있는
다양한 의견 부탁드립니다.",2020-08-15~2020-08-19,경제·산업·통상>에너지및자원개발,부산광역시>사하구,,
255,기후변화,내용,2020-08-13,종료,14,"인천시, 공공부문 온실가스 전년 상반기 대비 3.4% 감축",2020.08.13,0,14,"안녕하세요
인천시입니다.
올해 상반기 공공부문 온실가스 목표관리 추진 결과, 우리 시가 11,237톤의 온실가스를 배출해 전년 상반기(11,639톤) 대비 3.4%(402톤)를 감축했습니다.
상반기 공공부문 온실가스 목표관리는 외부감축 사업 인증실적 및 탄소포인트제 감축 실적을 포함한 2020년 온실가스 감축률을 산정한 결과입니다. 인천시는 태양광 개선사업, 시설물 자동제어 프로그램 개선공사 등을 통한 에너지 절감이 온실가스 배출량 감축에 큰 영향을 미친 것으로 보고 있습니다.
상반기 추세대로 온실가스를 감축하게 되면 올 하반기는 지난해 감축률 51.1%보다 5.2%가 늘어난 56.3%의 감축률을 보여 올해 감축 목표인 30%를 초과 달성할 것으로 예상됩니다.
공공부문 온실가스 목표 관리제는 「저탄소 녹색성장 기본법」 및 「공공부문 온실가스·에너지 목표관리 운영 등에 관한 지침」에 따라 2011년부터 시행됐습니다. 이 제도는 공공부문 대상기관이 소유·임차 사용하는 건물과 차량의 에너지(전기, 도시가스, 유류 등) 사용으로 배출되는 온실가스 감축을 위해 목표관리를 받는 제도입니다.
우리 시는  총 43개소(인천시, 직속 기관 및 사업소 등)를 대상으로 매년 환경부에서 설정한 감축 목표 기준*을 달성하기 위해 노력하고 있습니다. 최근 환경부가 발표한 2019년도 공공기관 온실가스 목표관리 결과, 우리 시는 지난해 51.1%의 감축률을 달성해 전국 광역자치단체 중 1위의 성과를 거뒀습니다.
*2007~2009년 평균 배출량 대비 30% 감축
인천시 환경기후정책과장은 '인천시는 GCF 사무국 등 15개 국제기구가 입주해있는 기후변화 대응 선도도시인 만큼 공공기관 건물에 시설물 자동제어 프로그램 개선공사를 확대 시행하는 등 2050년 탄소중립(Net-Zero)을 목표로 기후변화에 적극적으로 대응해 나가겠다.'라고 말했습니다.
이상 인천시였습니다.
보다 많은 자세한 내용은 인천광역시 블로그 (http://blog.naver.com/incheontogi) 를 참고해 주세요!
 ",2020-08-13~2020-08-20,환경>기후·기상,인천광역시,,
