,검색키워드,제목,추천,비추천,작성일,작성자,본문내용,댓글입력일,댓글내용,추천/반대
3086,원전,도쿄올림픽 이전 정부차원에서 일본내 방사능 오염을 조사하여야합니다.,9,0,2019-07-31 14:03:29,facebook - ***,"일본 원전사고이후 우리정부는 일본에 대하여 얼마나 조사를 하고있는지 묻고싶습니다.
방사능 오염에 대한 영향이 없을 것이라고 판단하여 아직도 도쿄올림픽 출전여부를 명확히 하지못하는 겁니까?
원전사고이후 8년도 안되어 인구감소가 100만명에 육박하고, 일본내 방사능 피폭과 연관되는 급성백혈병, 암, 임파선질환, 갑상성질환 등등의 질병 발병률이 2배를 넘어서고 있다는 것은 정부도 알고 있습니까?
만일 대한민국에 위의 질병들이 10년사이에 두배가 증가한다면, 대한민국 정부는 원인을 찾기 위하여 역학조사를 일본정부와 같이 하지않습니까? 아니면 일본과 같이 민심이 흔들릴고, 올림픽 유치를 위하여 국민이외에 세계 올림픽 출전 선수 및 방문자의 건강은 무시하겠습니까?
늦었지만 대한민국정부는 일본에 원전사고에 의한 방사능 오염실태 조사를 위하여 조사단을 꾸려서 다각면으로 조사를 하고나서 출전여부를 가려주시기 바랍니다. 일본이 우리 조사단을 거부한다면 생각할 것도 없습니다.
그리고, 만에 하나 위에서 말한 방사능피폭관련 질병의 발병률 2배이상 증가한 것이 원전사고와 관련이 있다면 대한민국 국민이 안심할 수 있게 발표하여주시기 바랍니다.
또한 일본을 여행 위험국으로 지정을 하여야 합니다.",,,
3087,원전,탈원전의 저의,5,0,2019-07-27 16:27:09,naver - ***,"우리의 핵기술을 제거하여,
핵무장능력을 영원히무력화시켜
정은이의 노예로 만들려는
문재인 종북주사파의 간교한술책",,,
3088,원전,일본과 총성없는 전쟁에 북한 탄도미사일 중*러 전략폭격기 훈련에 러시아 한반도 영공침범,6,2,2019-07-26 17:40:12,naver - ***,"안보가 0순위입니다 지금 대한민국 모든 국민의 목슴이 위험한대 다른 토론해야하겠습니가?
모든 정치인들이여 지금 여당의 탈원전 외치며 군사훈련 약화하는 정부여 한미군사훈련 강화가 답입니다",2019-07-26 17:45:19,"미국이 버리면 위 네놈중 어느놈이 주워갈까? 문대통령 안보, 국방에 힘쓰세요. 국민의 목숨이 달린 문제입니다. 원전 회복하여 핵무기 만들 준비하고....",0/0
3091,원전,전라남도와 전라북도 호남권으로 묶어 발전을 방해하는 정부,4,0,2019-07-25 21:01:39,naver - ***,"1.전라남도 한빛원전 피해예방지역 보호에 전라북도지역이 그범위에 들어도 전라북도는 피해예방지역 지정도안된다
2.전라남도에 탄소산업 연구원 있다고 전라북도에 탄소산업 연구원 거부하는 정부
3 문제인 약속 전라북도와 전라남도 호남권 분리 및 전라남도 전라북도 호남권이 아닌 서로 독립적인 권혁 약속
아직도 같은 권혁으로 호남권으로 둘을 묶어서 미래발전 을 위한 정책에 이미 한쪽에서 추진하고 있다고 거절하는 정부
4 . 전라남도 발전과 전라북도 발전을 위해 미래산업 육성 정책 각자 독립 권혁 인정하고 같은 권혁으로 묶어 발전예산에서 거부당하는 일을 없도록해야한다
5 . 지방분권 외치면서 경남권도 경상남도 경상북도 모두 투자되는대 전라도만 전라남도에 있으니 전라북도는 안돼 논리 별치는 경상도 출신 정치인들의 계혁을 촉구한다",2019-08-06 22:28:22,친일매국노 개쌍도는 후쿠시마로 독립 시켜야된다,0/0
3095,원전,제발 반기업정책 그만해주세요 탈원전반대합니다,11,1,2019-07-25 00:55:08,naver - ***,"기업을 살려야 경제도 잘돌아가요 특히삼성은 우리경제버팀목입니다 제발 반기업정책이아니라 기업을 살리는정책을 해주세요. 일본수출규제 정말 일본 못돼고 정말 나쁘지만 어쨋든 부품소재 다 국산화시키기에는 한계가있고 걱정이돼서 잠도 잘안옵니다 국민들은 안가고 안살테니
제발 외교로잘풀길바랍니다. 단호하게 잘대처하시겠다하는데 그것도 좋지만 특히 반도체소재 차질이없도록 외교에 최선을 다해주시길 진심으로 바랍니다 반일은 국민이 할테니 국익을 먼저생각해주세요 정말 걱정입니다 일본자산매각일단 유보하는게 악화를 막을수있지않을까요 징용문제를 국제인권같은데 상정할수있는데가 없을까요",2019-11-18 00:33:56,탈원전반대합니다.태양광사업반대합니다.태양광비리를 파헤쳐주세요.,0/0
3097,원전,대한민국 정세와 중국러시아 침공 미국이 한국과 일본에 어느한쪽편들기에 대해,3,1,2019-07-24 16:11:36,naver - ***,"1. 중국 러시아 이번 독도로 칭공한 전략폭격기
사실상 핵위협이라는 건 초등학생도 알탠대 정부 방송은 핵공격 위협에 대해 영공침해 주권침해라는 말을 하고 말한다
우리는 핵미사일 위협에서 안전한 이유는 한미일 동맹관계에서 미국의 핵과 동맹관계라는 사실하나로 실질적인 폭격의 위협은 없었으나 전쟁상황으로 본다면 이미 핵탄두를 얻어 맞은 것이나 다름이 없다
2. 미국의 입장 한미일 군사동맹 프로세서 안에서 패권을 유지하며 자신의 통치권 아래서 조율대고 문제없어야한다
문제 1 한일 갈등 한국 일본 갈등에 공식적인편을 들어줄경우 한미동맹이나 미일동맹에 지장을 줄 수 있다 판단 할 수 있다
문제 2 중국 러시아가 동북아 패권에서 한일갈등에 대해서 인지하고 동맹수준의 대응에 대해 정찰한 것에 근본적으로
제제를 한국에서 할 수 없는 입장이다 핵을 가진나라가 핵이 없는 나라를 침략했을때 잘못했다고 인정할가?
문제 3 미국은 일본의 역활을 더 주문하고 있는 입장에서 한국은 걸림돌이 될 수 있다 이러한 문제점을 어떻게 슬기롭게
일본의 제제를 벗어내고 일본보다 한국의 동맹에 더 힘을 실어서 미국이 우리편을 들게 할 것인가
3.대한민국 정부는 가상의 전투에서 이미 불바다가 되어버렸다 근대 정부 관걔자들의 발언을 보면 안일한 대응일 수 없다
믹국과 조약에 따라 핵무기를 보유 할 수 없다 그러나 미국에게 지원을 요청하던가 지킬수 있는 무기가 필요하다고 본다
4.북한문제 북한의 핵포기이후 통일한다면 대응 할 수 있다 말하는대 내수경제는 플러스 마이너스이고 안보에서는 플러스가 될 것이다 북한이라는 적이 사라졌을때 실질적으로 최전방이 한국이 되므로 미국에게 더중요한 방어기지가 될것이다
5.핵무기 대응방안에 대한 대한민국의 대응이라는건 하나도없다
탈원전 외치면서 핵잠수함 건조기술있어도 돈과 시간이 필요하다 이러한 기술을 버려야하는가?
수소핵폭탄 제조기술 보유 할 수 없다하더라도 만들 수 있는 이기술을 포기해서 협상카드를 버려야하는가?
6. 이외 일본과 전쟁상태인대 독도 영유권일본의 주장 이명박 박근혜가 원인이지만 억지주장이란걸 국제사회에 인정받는 노력을 하지않는가?
7. 대한민국 미래투자제한 없는 정부의 지원에 미래발전 제한조건에서 전라북도 제외 문제인은 왜 약속을 어기는가?",2019-07-24 16:14:13,문제는 더 많을 수 있다 그중에서 안보에 대해 청화대는 아마추어보다 못하는 발언을 했다 이미 가상전투에서 대한민국이 불바다되었는대 러시아의 침공에 러시아 정부 공식입장은 없는대 사설 러시아군인 발언에 휘둘린다,0/0
3098,원전,"미국식 발전모델이 양극화 주범이라는데 다음 사항이 미국식 발전모델입니까? 다음 세계에서 가장 투자를 많이 받은 스타트업 100개중 28개만 사업이 가능한 규제 공화국, 고용유연성에서 OECD국가에서 가장 낮은 나라, 강성노조가 불법파업하고 사업장을 점령해도 대체노동력 투입이 불가능해서 대기업이 고용을 회피하는 나라가 된 이나라,",5,0,2019-07-15 14:40:10,naver - ***,"대통령은 얼치기 떨치기 얕은 지식가진 보좌관들의 조언을 듣지 말고 해당 전문분야 학자들의 조언을 듣고 정책을 결정해야 나라에 피해를 초래하지 않습니다. 예를들면 일본과의 분쟁문제, 탈원전문제, 소득주도성장 문제, 노동단체 처리문제 등 나라 존망이 걸린 문제를 어설픈 보좌진 말을 듣고 수행한 결과를 보셨죠.
세계에서 가장 투자를 많이 받은 스타트업 100개중 28개만 사업이 가능한 규제 공화국, 고용유연성에서 OECD국가에서 가장 낮은 나라, 강성노조가 불법파업하고 사업장을 점령해도 대체노동력 투입이 불가능해서 대기업이 고용을 회피하는 나라가 된 이나라, 시장경제에 대한 반감과 무지의 극치를 보여주는 대통령이 이나라 경제를 파멸로 이끌고 있습니다",2019-07-15 16:21:39,"보좌관들 말이나 듣겠어요, 혼자 망상에 젖어있는데",0/0
3099,원전,대통령이 하야 하여야 할 분명하고 확실한 10가지 이유,31,6,2019-07-13 17:31:39,naver - ***,"대통령이 하야 하여야 할 분명하고 확실한 10가지 이유
1. 진정한 국민의 대통령이 아니었다.
모두의 대통령이 되겠다고 하였으나 자기편만 챙기는 편협하고 편파적인 통치방식으로 매번 갈등만을 유발하는 한 쪽 편들기 대통령이었다. 소통이 아니라 일방통행으로 나라를 더욱 혼란으로 이끌었다.
- 원전건설 파기
- 자사고폐지
- 노조 공화국 건설, 기업인들을 적폐로 취급
- 표와 인기를 위한 최저임금 세계최고 인상
- 비정규직 정규직화로 노노갈등
- 인사권 남용
- 사상최대의 낙하산 투입
2. 내각을 심부름센터로 만들었다.
능력과 실력자의 등용보다는 오직 능력이 부족한 코드인사들을 행정부에 채워서 청와대의 보조역할과 청와대의 실책, 실수를 막아주는 방패막, 지시에 따르는 수직적인 관계형성으로 스스로 역동적이고 창의적인 정책을 구현하고 실현할 수 있는 기회를 망가뜨렸다.
3. 족보에 없는 경제실험으로 부익부빈익빈이 심화되었다.
소득주도성장이 아닌 소득격차성장으로 많이 번 사람을 더 배부르게, 조금 번 사람은 더 적게 또는 실업자로 만들었다.
알바 일자리도 구하기 힘들게 만들어 놓고는 소주성이 소득을 올렸고 고용률을 높였다고 자화자찬 하는 독선적인 경제정책을 펴는 사람들을 어떻게 믿겠는가?
4. 임기동안 내내 북한만 바라 보았다.
""김정은은 남한에서 인기 최고다"", 해외 나가서는 ""신뢰할 수 있고 북한을 훌륭하게 통치하고 있다""는 등 김정은 홍보대사를 하는 등 김정은에게 조금이라도 해가 가지 않도록 극진히 모신 것을 모두가 알고 있다. 비무장지대 철수, 단도미사일, 판문점회의 묵음처리, 쌀과 800만 불 지원, 북한 석탄반입 등등
5. 비판세력을 적폐, 친일파, 토착왜구라고 매도하였다.
북한에서 일본을 향하여 늘상 얘기하던 용어를 마구 사용하도록 호도하거나 방조하여 비판세력과 보수는 친일파라는 공식을 국민들 머리 속에 심화시키고 방조하였다. 광복운동을 하던 조상들은 좌우익과 무관하게 해방운동을 하였었던 것은 역사적인 사실이다.
6. 국가안보가 심각하게 위태로워졌다.
주적이 없다고 교육하고 훈련하는 군대가 어떻게 기강이 서겠나? 아무런 보장이나 확약도 없이 생명선인 비무장지대를 철수할 수 있나? 국가안위에 대한 정신력을 최약체로 만들어서 영해권을 누구나 침범할 수 있도록 하여 국가방위가 극도로 허약해졌다.
7. 교육의 다양성을 공권력으로 무너뜨렸다.
김대중 대통령이 인재양성을 위하여 만든 자사고를 획일적으로 규제하여 학교의 평준화, 학생들의 둔재화를 만들어 가고 있다.
현 청와대와 내각 주요 공직자들의 자녀 70%가 외고, 자사고, 특목고 출신인데 이율배반적인 행동아닌가?
8. 일자리 증가는 퍼주기로 만들어졌다.
노인 등 일자리 쪼개기, 공공기관 단기일자리 확충으로 고용률이 늘어난 것처럼 선전하고 있으며 모든 통계지표를 아전인수식으로 해석하여 자기들의 잘못을 감추고 있다.
공무원, 공공기관 증원은 국가채무에 막대한 부담이 되지 않는가?
9. 비핵화는 처음부터 불가능했다.
대선 전부터 자주적인 비핵화를 북한과의 협상목표로 하여 왔으나 북한은 진작에 핵완성이 이뤄진 상태였기에 이것은 명백하게 국민들을 향하여 지금껏 거짓말을 한 것과 다름 없다. 실제로는 출구전략으로 적당한 선에서 합의된 비핵화, 핵동결을 목표로 하고 있지 않은가?
10. 정책 실책이나 실수를 절대로 인정하지 않는다.
위 1~9 가지의 중대한 문제들에 대하여 잘못을 인정한 적이 있었던가? 오만과 독선의 극치다. 실패나 오류를 인정하지 않고 계속 밀어붙이는 일방적인 국가운영은 공산주의에서만 가능한 일이다.
이 나라는 오직 표바라기, 북바라기에 매달리는 대통령을 원치 않는다. 따라서 무거운 짐을 내려놓고 문재인 대통령은 하야 하기를 진심으로 바란다.",2020-03-18 17:09:45,동의합니다,0/0
3111,원전,탈원전이 불러온 해외 원전사업의 위기신호,3,1,2019-07-11 17:52:33,naver - ***,"1위 원전기술이라고 광고하는 원전기술
탈원전 정책이 불러온 원전사업 반쪽짜리 결과만 나왔다
해외 원전관리 한국기술로 수주해놓고 관리를 한국이 못한다 얼마나 우수운 꼴인가?",2019-07-11 17:53:32,자국기술로 만든 원전을 해외에 지어주고 관리 못하는 한국 누구를 위해 원전기술을 개발했는가?,0/0
3112,원전,핵무기 개발하자 탈원전 무신 개소리냐,5,1,2019-07-11 17:15:21,naver - ***,"김정은 핵포기 않하고 시간 끌잖냐
문제인 탈원전 정책 포기해라 태양광에 투자했냐?
태양광 발전좋다 핵무기 무장 기술을 그리 버려야겠냐 국제법으로 만들진 못해도 기술은 가지고 있어야 안보에 도움되지
김정은이 핵포기했다고 치자 핵을 중국과 미국이 포기하겠냐?
중국으로 미국으로 부터의 핵무기로부터 대한민국을 지킬 수 있겠냐?",2019-07-11 18:23:00,* 핵은 우리가 굳이 힘들게 만들 필요 없다. 조선의 보검이 우리의 보검이니라.,0/0
3121,원전,탈원전 핵패기물 이야기 논점흐리는 수구언론들,1,0,2019-07-11 16:08:30,naver - ***,"탈원전으로 핵패기물 안나온다
핵패기물 너희집에 놓으면 원전하자는 말 나오겠냐등 언론몰이한다
탈원전으로 행하는 태양열 발전 탈원전으로 애너지수습문제로 화력발전소 과다 발전으로 인한 피해는 언론은 왜
하나 방송하지 않는가 탈원전으로 인해 돌아가는 화력발전소의 문제점은 왜 방송하지 않는가 이다
결론으로 자신의 공략을 저러한 문제점을 방송하면 지킬 수 없기때문이다
탈원전 좋다 그래서 우리가 탈원전으로 핵무기 만들진 못해도 만들 수 있는 기술을 가지고 있겠다는 안보적인 절차에 대해서
왜 방송하지 않는가? 그 들은 탈원전으로 태양광 해먹으며 돈벌려고다
화력발전으로 석유값 올라가면 대책은? 태양광 발전소의 문제점은 ? 원자로 핵패기물만 문제인가?
핵패기물 관리없이 후쿠시마처럼 만들 사람이 여기 대한민국에 존재하는가?",2019-07-11 16:13:50,"원전부품 중소기업 폐업하고, 지금 있는원전들 부품조달 우짜노. 부품노후로 재앙을 초래하는거 아닌가 싶어요",0/0
3124,원전,일본의 욱일기 사용금지를 국제 사회에 요청합시다.,15,0,2019-07-10 12:20:36,kakao - ***,"일본의 경제 보복에만 집중하는 것은 일본이 짜놓은 프레임 속으로만 끌려가는 것입니다. 그들의 선제 공격이 시작되었으나 아무래도 열세일 수 밖에 없는 우리는 게릴라식으로 다방면의 방어적 공격을 취해야 합니다.
그 방법의 일환으로
첫째, <욱일기>를 국제사회에서 사용하지 못하도록 해야합니다.
독일의 나찌가 사용했던 하켄크로이츠는 독일 내 뿐만 아니라 유럽과 미주에서도 공공연히 사용하는 행위를 엄격히 처벌하고 있습니다. 그럼에도 똑같이 2차 대전의 ""전범깃발""로 사용된 욱일기를 국제 사회가 용인하는 것은
아시아인들의 전쟁피해는 가볍게 여기는 인종차별적인 발상이라고 보아야 합니다.
미국 하와이 진주만 기습 때도 욱일기가 있었고, 중국 남경 대학살의 현장에도 욱일기는 있었습니다. 뤼순항의 러시아함대를 기습 공격할때에도 욱일기가 있었습니다.
그들에게 사진이나 책자 등등을 통해 욱일기의 야만성과 공격성을 상기시켜주어야 합니다.
강제징용 배상이라는 단순프레임이 아니라 전쟁범죄에 대한 보상, 인권 말살에 대한 피해보상, 극동국제군사재판의 연장선상에서 끌고 나가야 합니다. 국제연합에 ""아시아인종 차별 철폐""와 ""도쿄전범재판 정신의 이행 촉구""라는 명목으로 정식 제소를 하여야 하고, 우리 개개인들도 국제적인 SNS활동을 펼쳐 가야합니다.
얼마 전에도, 프랑스 배우 ""마리옹 꼬띠아르""가 욱일기 모자를 쓰다가 한국 팬의 지적을 받고 쓰레기통으로 버려버린 사전이 있었습니다. 그리고 덧붙인 말이 ""프랑스 인들이 욱일기 의미를 모르고 아무 때나 쓰고 있는게 제 정신이 아닌 것 같다""였죠.
둘째, <군함도>의 유네스코 문화 유산 지정 취소를 국제 사회에 촉구하여야 합니다.
군함도에서 죽어나간 수많은 한국인들의 이야기를 강제 징용이나 노동 착취 뿐만 아니라, 인간이 차마 인간에게 할 수 없는 야만적인 행위로 규정하여 군함도의 유네스코문화 유산지정의 부당성을 세계에 홍보하여야 합니다. 군함도가 인류의 보편적인 문화 유산이라면 731부대도 인류의 문화유산이 되어야겠지요.
징용배상과 관련한 이번 한국정부의 재판결과는, 일본국의 야만성을 일갈하는 인류의 보편적인 판결이며 체불 및 착취임금에 대한 인류 보편의 상식적인 정당한 보상 촉구입니다.
셋째, <안중근 의사의 수결>을 일본의 야만성을 증명하는 증거로 세계에 알려 나가야 합니다.
사형 집행 후에도 가족의 품으로 시신을 돌려주지 않았습니다. 또한 시신의 매장위치를 기록하지 않아 안의사 순국100년이 지난 지금까지도 시신은 환국을 하지 못하고 있습니다.
[라이언 일병 구하기]라는 영화에서 보았듯 미국의 국가가치는 ""집으로""입니다. 그들은 수 십년이 지나도 병사들의 시신을 수습해서 집으로 보내 줍니다. 심지어 적대국인 북한에 구걸을 해서라도 한국전쟁의 희생자들을 집으로 데려가고 있습니다. 안중근 의사의 수결이야말로 야만적인 일본 식민지의 상징일 것입니다.
와세다 대학 재학생들이 남경대학살의 현장에서, 누가 빨리 많은 사람의 목을 자를 수 있는지 자랑삼아 기록했던 사실을 굳이 들추지 않더라도 시신의 귀국조차 막는 일본국의 야만성을 알려야 합니다.
넷째, 1970년 12월 7일 빌리 브란트 독일 총리가 국제 사회를 향해 진심어린 전쟁범죄 사죄를 했던 사진과 아베 신조의 야스쿠니 신사참배를 대비시켜 홍보해야 합니다. 전범을 미화하고 숭배하는 일본국의 야만성을 질타해야 합니다. 더군다나 전쟁피해자인데도 강제 합사시킨 조선인 징용자들의 분사를 거부하는 것은 죽은 영령들 조차 그들의 노예로 부리겠다는 식민사관입니다. 문명국에서는 도저히 행할 수 없는 야만적인 전쟁 범죄를 저지르고도 여전히 주변 피해국에 사과하지 않는 일본의 야만성을 국제 사회에 부각시켜야 합니다.
다섯째, 후쿠시마 원전2호기의 멜트쓰로우 현상이나 일본 열도의 방사능 오염상황을 일본국내에 알려야 합니다. 아베가 외교분쟁을 일으키며 그토록 일본국민들의 눈을 돌리고 싶어하는 후쿠시마의 참상을 알려야 합니다. 올림픽에 참가해야 하는 우리선수들에게 방사능 측정기를 공개적으로 구입하고, 공개적으로 지급하여 국제적인 환기를 불러 일으켜야 합니다. 우리에게 우호적인 빈민국 선수들에게는 무상지원해주는 등 국제적으로 도쿄 올림픽의 위험성을 알려야 합니다.
아베가 총리로 있는 한 타협은 절대 있을 수 없습니다. 많은 친일매국노의 후손들이 일본정부에 무릎 꿇지 않는 문정부를 비난하고 있으나, 우리 모두는 문정부와의 세세한 정책의 차이를 넘어야 하며 하나로 뭉쳐 일본에 대항해야 합니다. 외적이 처들어 왔으니 우리끼리의 싸움은 나중으로 미루어야 합니다.
경제보복의 대응은 경제 부처가 해나가고 일본의 야만성을 국제 사회에 알리는 것은 정부의 국제교류와 우리 개인들이 sns활동을 통해 알려 나가야 합니다. 일본국은 철저한 준비를 하고 경제왜란을 일으켰습니다.
임진왜란과 운양호 사건 때처럼 정공법으로는 우리가 일본을 이길 수 없을 것입니다. 경제, 정치, 문화, 외교, 국방, 스포츠 등등 다방면에서 전방위적인 벙어와 공격을 구사해야 합니다. 또한 이왕지사 벌어진 왜란이니 그동안 일본의 반대로 진행하지 못했거나 무산된 위안부 피해자 기념관 건립, 워싱턴 소녀상 건립, 독일 소녀상 건립, 남대서양 고래보호 구역 지정 등등 우리가 행하지 못했던 많은 일들을 지금 신속히 처리해야 합니다.
국가적인 위기입니다. 그러나 우리는 반드시 승리하게 될것입니다.
오히려 이번 일본의 경제침략으로 아군과 적군을 확실하게 구별할 수 있게 될 것이며 우리 스스로의 대외 헛점들을 발견하고 면역력을 키우는 기회가 될것입니다. 분열하지 않으면 우리는 100년 만에 극일을 이뤄낼수 있는 천우신조를 맞게 된것입니다. 12척으로 명량 바다에 나섰던 조선수군의 각오로 이번 왜란을 승리로 이끕시다.
더 이상은 일본에 굽신거리지 않는 진정한 주권국가를 후손들에게 물려 줍니다.",,,
3125,원전,원전과 태양열 실체,3,4,2019-07-09 14:06:51,naver - ***,"원전은 ㅡ전기 만들어 부자들이 때돈 벌고ㅡ
태양열은 전기만들어 ㅡ부자들이 전혀 돈을못번다 ㅡ한마디로 ㅡ공짜 전기다 ㅡ
ㅡ그래서 부자들은 원전으로 때돈을 벌기 위해 ㅡ원전살리라고 날리치는것이다
ㅡㅡ원전은 매년 핵폐기믈을 생산하고 ㅡ처리도 못한다
ㅡ그냥 생기는 대로 한국에서 보관해야 하는 핵물질이다
ㅡㅡ국민들한테는 치명 적이다
ㅡ국민이 핵방사능으로 오염되던말던 ㅡ자기들 돈만 많이 벌면된다는 기준이다",2019-07-09 15:55:28,"30여년전에 G M, 전기차 기술 페기처분.",0/0
3126,원전,세계1위 원전은,3,2,2019-07-09 13:44:57,naver - ***,"매년 핵페기물을 생산하기 때문에 ㅡ
당장은 편할지 몰라도 ㅡ핵폐기믈이 한국에 계속 쌓이다 ㅡ보면 한국은 풀한포기 안자라는 죽음으 땅이되고
ㅡ태양열은 당장은 비효율적이지만 ㅡ계속기술개발이 되어가다보면 ㅡ무한한 무공해 천연 에너지인 태양열을 무한대로 쓸수있는시대가 오죠 ㅡ미래에 대한 투자라고 생각하시면 됩니다",2019-07-09 13:55:13,"당신 글을 보니, 문득 '조까라마이싱' 이라는 영화 멘트가 떠오릅니다 ^^ 혹시 관제 공무원이신가요? 아니면, 청와대 댓글 직원??",0/0
3127,원전,탈원전정책 도로에 풍력발전 제안,1,0,2019-07-08 15:00:00,naver - ***,"우리나라 많은 고속도로 및 자동차 전용도로 중앙에 중앙분리대에 풍력발전기 설치를 제안합니다.
효율이 좋고 지속적인 발전량은 신재생에너지 사업에 적합하다고 생각합니다.",,,
3128,원전,이상한 한국,7,0,2019-07-07 09:50:47,naver - ***,"탈원전으로 원전사업이 하락세.
원전 기술자는 중국으로감.
태양열 집광판은 중국산으로 쓰고 있음.
현대제철 고로 운영중지 행정처분.
그러는중 부산에는 중국 철강회사 짓는다고 신문 나옴.
일본이 한국 반도체 기초소재 수출절차를 변경한다고 함.
한국 반도체가 망하면 중국의 반도체 굴기가 빛을 보겠군.
(g20가서 한국 반도체 제제해달라고 한거 아님? 민주당은 반일감정 선동해서 지지율 끌어 올리고 중국한테는 반도체 갖다 바치고 북한이랑 친해지고, 아베는 반한감정 끌어 올려서 자기 지지율 끌어 올리고)",,,
3129,원전,고난의 행군을 제안합니다,0,2,2019-07-06 22:36:35,naver - ***,탈원전으로 우리 경제가 형편없이 고꾸라지고 있습니다. 1년에 12조원이나 흑자를 내던 한국전력이 올해 수조원의 적자를 낼 것으로 보입니다. 뭐...그래도 문재인대통령님의 영도하에 꿋꿋이 탈원전해야죠. 일본의 반도체 필수 소재 수출금지로 우리나라 경제가 엄청난 타격을 받을 것으로 보입니다. 뭐...그래도 문재인대통령님의 결단 아래 저질러진 일이니 우리야 꿋꿋이 나가야죠.... 이제 1997년 외환위기가 재현될 것입니다.... 그래도 좋다는 국민이 많아요.... 헐벗고 굶주리면서도 문재인대통령님을 가슴에 싸안고 맨발로 눈보라 만리길을 헤쳐나갈 각오가 돼 있는 우리 대한민국 국민이니까요... 그래서 제안하는데요...우리도 북한처럼 고난의 행군을 하자는 겁니다... 북한에서 몇번 시행한 운동이니까 노우하우가 있을 것 아닙니까? 남북이 함께 고난의 행군? 오케이? 힘들고 배고파도 문재인대통령님 가슴에 싸안고 웃으면서 가자.... 청와대가 고난의 행군 행사를 따로 기획하지 않아도 어차피 고난의 행군은 이미 시작됐습니다.,,,
3130,원전,그 후유증도 생각않고 생각나는대로 내 밷었다가 수습할 능력이 없어 미국에 해결을 도와 달라고 부탁한다니 정말 챙피하다 .,8,0,2019-07-06 17:07:32,naver - ***,"탈원전 정책도 영화한편 보고 결정해서 20조원 흑자 기업 한전을 수조원 적자기업으로 만들어 놓고 소득주도성장 정책도 기업체 세금을 왕창 올리고 최저임금을 2년간 29%올리고 52시간으로 노동시간을 못박고 하여 기업체로 하여금 해외에 투자하여 직원채용을 기피하게 환경 조성하고 자영업자, 중소기업자를 폐업케 만들고 첨단기술 연구소 6시이후 불끄게 만들어 기술개발 못하게 막는 정책을 하여 2년간 실업자 20만명을 양산하여 국민을 불안케 하는데도 본인이 직접 다니면서 확인하지 않고 청와대 에 앉아서 경제의 흐름은 좋다고 헛소리치고 있으니 국민은 기가찰 노릇이다
그리고 정책을 발표하기전에 데모하며 속이 텅빈 바보들과 의논하지 말고 똑똑한 관련학자들, 경험많은 선배 정치가들과 의논해서 파급효과와 그 후유증까지 생각하고 결정했으면 이번과 같이 저질러 놓고 해결할 방법이 없으니 그렇게 경솔하게 대했던 미국에 도와 달하고 말하지 않아도 되었을 것이다 , 하여튼 손댓하면 크게 사고치는 재인이를 국민들은 어떻게 앞으로 3년을 견딜것인가 생각해 주면 좋겠습니다",2019-07-06 18:38:55,뜨거운 아스팔트 위에서 데모만하던 주사파들이 과연 정치를 할수있을거란 생각에 한표 던진 국민들도 책임이있다.,0/0
